"RowName","Distance"
"Blaricum                                ",2823.44720864407
"Harlingen                               ",2917.56116988145
"Zoetermeer                              ",3529.42829648089
"Vlissingen                              ",3595.4725224927
"Oost Gelre                              ",4746.46005460912
"Roerdalen                               ",5119.94238834774
"Sluis                                   ",7563.80593748941
"Goirle                                  ",8209.94794076065
"Maasgouw                                ",8482.75733650327
"Hollands Kroon                          ",8718.24679680496
"Woensdrecht                             ",9749.86574369104
"Pekela                                  ",10180.6704175118
"Venray                                  ",11163.4362133709
"Stein                                   ",11175.0705183457
"Beuningen                               ",2430.55021960049
"Albrandswaard                           ",2514.88834145773
"Druten                                  ",2850.23108010561
"Sittard-Geleen                          ",3372.57250478029
"Baarn                                   ",3637.2355505246
"Voerendaal                              ",3685.00728628859
"Steenwijkerland                         ",3761.76215755329
"Heeze-Leende                            ",3910.71492057399
"Leiden                                  ",4045.20039676652
"Borne                                   ",4061.02661281603
"Zevenaar                                ",13021.848371871
"Alkmaar                                 ",14018.5305956081
"Alphen aan den Rijn                     ",14623.4715830407
"Westerwolde                             ",16205.7655508773
"Zwijndrecht                             ",21824.5495726716
"Maassluis                               ",28021.65204284
"Velsen                                  ",28275.2528551028
